tiempo	arco	terreno	objeto	emocion
Dentro de algunos años	colapso y un nuevo comienzo	el cerebro	un anuncio	admiración
Dentro de una década	disciplina	la infancia	una obra de arte	alienación
Dentro de una generación	crecimiento continuo	la ciudadanía	una bebida	diversión
Dentro de dos generaciones	transformación	la clase social	un libro	rabia
Dentro de un siglo		el clima	una botella	ansiedad
Dentro de un milenio		la clonación	una caja	incomodidad
		las comunicaciones	un folleto	calma
		los tribunales	un edificio	encanto
		las enfermedades	un dulce	alegría
		los drones	una prenda de vestir	contento
		la economía	una corporación	curiosidad
		la educación	un dispositivo	decadencia
		el entretenimiento	un documento	deleite
		el medio ambiente	un evento	dignidad
		la igualdad	un festival	asco
		la familia	una bandera	pavor
		la moda	un juego	bochorno
		el vuelo	un regalo	entusiasmo
		los bosques	un titular	euforia
		la genética	un implante	fascinación
		el género	un instrumento	fervor
		la gobernanza	una joya	frustración
		la salud	un kit	gratitud
		los hobbies	una ley	felicidad
		el hogar	un logo	risa
		la identidad	una loción	esperanza
		los insectos	una máquina	anhelo
		la propiedad intelectual	una portada de revista	malestar
		el periodismo	un mapa	melancolía
		la justicia	una máscara	melodrama
		el aprendizaje	un monumento	nostalgia
		la memoria	un pasaporte	optimismo
		la minería	una pastilla	indignación
		la Luna	una planta	lástima
		la música	una postal	placer
		los océanos	un póster	orgullo
		el petróleo	un producto	racionalidad
		la vejez	una prótesis	alivio
		las mascotas	un anuncio de servicio público	resentimiento
		el poder	una reliquia	respeto
		la religión	un ritual	tristeza
		los robots	un show	satisfacción
		el sexo	un eslogan	serenidad
		las compras	un snack	vergüenza
		el espacio	una canción	conmoción
		los deportes	un souvenir	pesar
		el teatro	una estatua	sorpresa
		los viajes	un sticker	inquietud
		la guerra	un símbolo	calidez
		el agua	una camiseta	extrañeza
		la riqueza	un tatuaje	bienestar
		las mujeres	una herramienta	asombro
		el trabajo	un juguete	preocupación
		los zombies	un vehículo	tranquilidad
		el zoológico	un video
			un arma
